Project,Era,SampleYear,Region,RegionAbbr,AR_Complex,AR_Complex_abbr,Site,SampleDate,DiveReplicate,DepthZone,Transect,BenthicReefSpecies,SpeciesGroupF,Abundance,area.m2
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 2,Muricea californica,gorgonians,5,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Inner,SCLI - Reflector Reef 04-Oct-2022 Swath Inner 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 2,Muricea californica,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Middle,SCLI - Reflector Reef 04-Oct-2022 Swath Middle 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 2,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Outer,SCLI - Reflector Reef 04-Oct-2022 Swath Outer 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 2,Leptogorgia alba,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 2,Muricea californica,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Reflector Reef,04-Oct-2022,2,Deep,SCLI - Reflector Reef 04-Oct-2022 Swath Deep 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 1,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 1,Muricea californica,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 1,Eugorgia rubens,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 1,Leptogorgia chilensis,gorgonians,2,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 1,Muricea californica,gorgonians,11,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,1,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 1,Muricea fruticosa,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 2,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Inner,SCLI - Boy Scout Camp 04-Oct-2022 Swath Inner 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 2,Muricea californica,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Middle,SCLI - Boy Scout Camp 04-Oct-2022 Swath Middle 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 2,Eugorgia rubens,gorgonians,2,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 2,Muricea californica,gorgonians,5,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Boy Scout Camp,04-Oct-2022,2,Outer,SCLI - Boy Scout Camp 04-Oct-2022 Swath Outer 2,Muricea fruticosa,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 1,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 1,Muricea californica,gorgonians,5,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 1,Muricea californica,gorgonians,3,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,1,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 1,Muricea fruticosa,gorgonians,3,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 2,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Inner,SCLI - Station 2 23-Sep-2022 Swath Inner 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 2,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 2,Muricea californica,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Middle,SCLI - Station 2 23-Sep-2022 Swath Middle 2,Muricea fruticosa,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 2,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 2,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 2,Leptogorgia chilensis,gorgonians,1,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 2,Muricea californica,gorgonians,6,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 2,23-Sep-2022,2,Outer,SCLI - Station 2 23-Sep-2022 Swath Outer 2,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Inner,SCLI - Station 1 23-Sep-2022 Swath Inner 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Inner,SCLI - Station 1 23-Sep-2022 Swath Inner 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Inner,SCLI - Station 1 23-Sep-2022 Swath Inner 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Inner,SCLI - Station 1 23-Sep-2022 Swath Inner 1,Muricea californica,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Inner,SCLI - Station 1 23-Sep-2022 Swath Inner 1,Muricea fruticosa,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Middle,SCLI - Station 1 23-Sep-2022 Swath Middle 1,Eugorgia rubens,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Middle,SCLI - Station 1 23-Sep-2022 Swath Middle 1,Leptogorgia alba,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Middle,SCLI - Station 1 23-Sep-2022 Swath Middle 1,Leptogorgia chilensis,gorgonians,0,60
Navy 22-23 Summer,Post-Construction,2022,San Clemente Island,SCLI,San Clemente Island,SCLI,SCLI - Station 1,23-Sep-2022,1,Middle,SCLI - Station 1 23-Sep-2022 Swath Middle 1,Muricea californica,gorgonians,0,60
