Project,Era,SampleYear,Site,SampleDate,DiveReplicate,DepthZone,Taxa,Category,BRS_per_cov
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,1,Deep,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,2,Inner,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,2,Middle,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,2,Outer,coralline algae - crustose,UPC Species,0
Navy 22-23 Summer,Post-Construction,2023,SCLI - China Point,30-Jun-2023,2,Deep,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,01-Nov-2023,1,Outer,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,01-Nov-2023,1,Deep,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,01-Nov-2023,2,Outer,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,01-Nov-2023,2,Deep,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,06-Oct-2023,1,Inner,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,06-Oct-2023,1,Middle,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,06-Oct-2023,2,Inner,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Summer,Post-Construction,2023,SCLI - Eel Point,06-Oct-2023,2,Middle,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,1,Inner,coralline algae - crustose,UPC Species,32.26
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,1,Middle,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,1,Outer,coralline algae - crustose,UPC Species,16.13
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,1,Deep,coralline algae - crustose,UPC Species,32.26
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,2,Inner,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,2,Middle,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,2,Outer,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Summer,Post-Construction,2023,SCLI - North Range,01-Nov-2023,2,Deep,coralline algae - crustose,UPC Species,41.94
Navy 22-23 Winter,Post-Construction,2021,SCLI - Northwest Harbor,07-Feb-2022,1,Inner,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Winter,Post-Construction,2021,SCLI - Northwest Harbor,07-Feb-2022,1,Middle,coralline algae - crustose,UPC Species,38.71
Navy 22-23 Winter,Post-Construction,2021,SCLI - Northwest Harbor,07-Feb-2022,1,Outer,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - Northwest Harbor,07-Feb-2022,2,Inner,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - Northwest Harbor,07-Feb-2022,2,Middle,coralline algae - crustose,UPC Species,74.19
Navy 22-23 Winter,Post-Construction,2021,SCLI - Northwest Harbor,07-Feb-2022,2,Outer,coralline algae - crustose,UPC Species,41.94
Navy 22-23 Winter,Post-Construction,2021,SCLI - Boy Scout Camp,31-Jan-2022,1,Inner,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Winter,Post-Construction,2021,SCLI - Boy Scout Camp,31-Jan-2022,1,Middle,coralline algae - crustose,UPC Species,67.74
Navy 22-23 Winter,Post-Construction,2021,SCLI - Boy Scout Camp,31-Jan-2022,1,Outer,coralline algae - crustose,UPC Species,58.06
Navy 22-23 Winter,Post-Construction,2021,SCLI - Boy Scout Camp,31-Jan-2022,2,Inner,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Winter,Post-Construction,2021,SCLI - Boy Scout Camp,31-Jan-2022,2,Middle,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - Boy Scout Camp,31-Jan-2022,2,Outer,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 2,31-Jan-2022,1,Inner,coralline algae - crustose,UPC Species,64.52
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 2,31-Jan-2022,1,Middle,coralline algae - crustose,UPC Species,61.29
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 2,31-Jan-2022,1,Outer,coralline algae - crustose,UPC Species,67.74
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 2,31-Jan-2022,2,Inner,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 2,31-Jan-2022,2,Middle,coralline algae - crustose,UPC Species,45.16
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 2,31-Jan-2022,2,Outer,coralline algae - crustose,UPC Species,25.81
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 1,07-Feb-2022,1,Inner,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 1,07-Feb-2022,1,Middle,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 1,07-Feb-2022,2,Inner,coralline algae - crustose,UPC Species,54.84
Navy 22-23 Winter,Post-Construction,2021,SCLI - Station 1,07-Feb-2022,2,Middle,coralline algae - crustose,UPC Species,58.06
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,1,Inner,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,1,Middle,coralline algae - crustose,UPC Species,16.13
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,1,Outer,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,1,Deep,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,2,Inner,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,2,Middle,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,2,Outer,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Winter,Post-Construction,2021,SCLI - Pyramid Cove,25-Feb-2022,2,Deep,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,1,Inner,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,1,Middle,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,1,Outer,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,1,Deep,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,2,Inner,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,2,Middle,coralline algae - crustose,UPC Species,41.94
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,2,Outer,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2021,SCLI - China Point,25-Feb-2022,2,Deep,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,1,Inner,coralline algae - crustose,UPC Species,9.68
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,1,Middle,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,1,Outer,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,1,Deep,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,2,Inner,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,2,Middle,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,2,Outer,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - Eel Point,18-Jan-2022,2,Deep,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,1,Inner,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,1,Middle,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,1,Outer,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,1,Deep,coralline algae - crustose,UPC Species,48.39
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,2,Inner,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,2,Middle,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,2,Outer,coralline algae - crustose,UPC Species,25.81
Navy 22-23 Winter,Post-Construction,2021,SCLI - North Range,18-Jan-2022,2,Deep,coralline algae - crustose,UPC Species,32.26
Navy 22-23 Winter,Post-Construction,2022,SCLI - Purseseine Rock,27-Jan-2023,1,Inner,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Winter,Post-Construction,2022,SCLI - Purseseine Rock,27-Jan-2023,1,Middle,coralline algae - crustose,UPC Species,38.71
Navy 22-23 Winter,Post-Construction,2022,SCLI - Purseseine Rock,27-Jan-2023,1,Outer,coralline algae - crustose,UPC Species,35.48
Navy 22-23 Winter,Post-Construction,2022,SCLI - Purseseine Rock,27-Jan-2023,2,Inner,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Winter,Post-Construction,2022,SCLI - Purseseine Rock,27-Jan-2023,2,Middle,coralline algae - crustose,UPC Species,45.16
Navy 22-23 Winter,Post-Construction,2022,SCLI - Purseseine Rock,27-Jan-2023,2,Outer,coralline algae - crustose,UPC Species,48.39
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,1,Inner,coralline algae - crustose,UPC Species,29.03
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,1,Middle,coralline algae - crustose,UPC Species,45.16
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,1,Outer,coralline algae - crustose,UPC Species,61.29
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,1,Deep,coralline algae - crustose,UPC Species,61.29
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,2,Inner,coralline algae - crustose,UPC Species,25.81
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,2,Middle,coralline algae - crustose,UPC Species,38.71
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,2,Outer,coralline algae - crustose,UPC Species,48.39
Navy 22-23 Winter,Post-Construction,2022,SCLI - Lil Flower,27-Jan-2023,2,Deep,coralline algae - crustose,UPC Species,74.19
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,1,Inner,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,1,Middle,coralline algae - crustose,UPC Species,6.45
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,1,Outer,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,1,Deep,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,2,Inner,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,2,Middle,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,2,Outer,coralline algae - crustose,UPC Species,3.23
Navy 22-23 Winter,Post-Construction,2022,SCLI - Castle Rock,17-Mar-2023,2,Deep,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,1,Inner,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,1,Middle,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,1,Outer,coralline algae - crustose,UPC Species,19.35
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,1,Deep,coralline algae - crustose,UPC Species,22.58
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,2,Inner,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,2,Middle,coralline algae - crustose,UPC Species,0
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,2,Outer,coralline algae - crustose,UPC Species,12.9
Navy 22-23 Winter,Post-Construction,2023,SCLI - Reflector Reef,27-Apr-2023,2,Deep,coralline algae - crustose,UPC Species,9.68
NBPL 2018,Pre-Construction,2018,NBPL North,11-Dec-2018,1,Middle,coralline algae - crustose,UPC Species,25.81
NBPL 2018,Pre-Construction,2018,NBPL North,11-Dec-2018,1,Outer,coralline algae - crustose,UPC Species,22.58
NBPL 2018,Pre-Construction,2018,NBPL North,11-Dec-2018,1,Deep,coralline algae - crustose,UPC Species,9.68
NBPL 2018,Pre-Construction,2018,NBPL North,11-Dec-2018,2,Middle,coralline algae - crustose,UPC Species,22.58
NBPL 2018,Pre-Construction,2018,NBPL North,11-Dec-2018,2,Outer,coralline algae - crustose,UPC Species,16.13
NBPL 2018,Pre-Construction,2018,NBPL North,11-Dec-2018,2,Deep,coralline algae - crustose,UPC Species,54.84
NBPL 2018,Pre-Construction,2018,NBPL North,13-Dec-2018,1,Inner,coralline algae - crustose,UPC Species,3.23
NBPL 2018,Pre-Construction,2018,NBPL North,13-Dec-2018,2,Inner,coralline algae - crustose,UPC Species,9.68
NBPL 2018,Pre-Construction,2018,NBPL Central,11-Dec-2018,1,Outer,coralline algae - crustose,UPC Species,19.35
NBPL 2018,Pre-Construction,2018,NBPL Central,11-Dec-2018,2,Outer,coralline algae - crustose,UPC Species,16.13
NBPL 2018,Pre-Construction,2018,NBPL Central,12-Dec-2018,1,Middle,coralline algae - crustose,UPC Species,16.13
NBPL 2018,Pre-Construction,2018,NBPL Central,12-Dec-2018,1,Deep,coralline algae - crustose,UPC Species,32.26
NBPL 2018,Pre-Construction,2018,NBPL Central,12-Dec-2018,2,Middle,coralline algae - crustose,UPC Species,16.13
NBPL 2018,Pre-Construction,2018,NBPL Central,12-Dec-2018,2,Deep,coralline algae - crustose,UPC Species,41.94
NBPL 2018,Pre-Construction,2018,NBPL Central,25-Jan-2019,1,Inner,coralline algae - crustose,UPC Species,3.23
NBPL 2018,Pre-Construction,2018,NBPL Central,25-Jan-2019,2,Inner,coralline algae - crustose,UPC Species,9.68
NBPL 2018,Pre-Construction,2018,NBPL South,12-Dec-2018,1,Outer,coralline algae - crustose,UPC Species,41.94
NBPL 2018,Pre-Construction,2018,NBPL South,12-Dec-2018,1,Deep,coralline algae - crustose,UPC Species,32.26
NBPL 2018,Pre-Construction,2018,NBPL South,12-Dec-2018,2,Outer,coralline algae - crustose,UPC Species,41.94
NBPL 2018,Pre-Construction,2018,NBPL South,12-Dec-2018,2,Deep,coralline algae - crustose,UPC Species,9.68
NBPL 2018,Pre-Construction,2018,NBPL South,25-Jan-2019,1,Inner,coralline algae - crustose,UPC Species,3.23
NBPL 2018,Pre-Construction,2018,NBPL South,25-Jan-2019,1,Middle,coralline algae - crustose,UPC Species,22.58
NBPL 2018,Pre-Construction,2018,NBPL South,25-Jan-2019,2,Inner,coralline algae - crustose,UPC Species,0
NBPL 2018,Pre-Construction,2018,NBPL South,25-Jan-2019,2,Middle,coralline algae - crustose,UPC Species,38.71
TBF 2016,Pre-Construction,2016,Rocky Point North,10-Feb-2016,1,Inner,coralline algae - crustose,UPC Species,29.03
TBF 2016,Pre-Construction,2016,Rocky Point North,10-Feb-2016,2,Inner,coralline algae - crustose,UPC Species,16.13
TBF 2016,Pre-Construction,2016,Rocky Point North,17-Feb-2016,1,Middle,coralline algae - crustose,UPC Species,29.03
TBF 2016,Pre-Construction,2016,Rocky Point North,17-Feb-2016,2,Middle,coralline algae - crustose,UPC Species,51.61
TBF 2016,Pre-Construction,2016,Rocky Point North,18-Mar-2016,1,Outer,coralline algae - crustose,UPC Species,16.13
TBF 2016,Pre-Construction,2016,Rocky Point North,18-Mar-2016,2,Outer,coralline algae - crustose,UPC Species,41.94
TBF 2016,Pre-Construction,2016,Rocky Point North,24-Feb-2016,1,Deep,coralline algae - crustose,UPC Species,48.39
TBF 2016,Pre-Construction,2016,Rocky Point North,24-Feb-2016,2,Deep,coralline algae - crustose,UPC Species,70.97
TBF 2016,Pre-Construction,2016,Honeymoon Cove,10-Feb-2016,1,Inner,coralline algae - crustose,UPC Species,16.13
TBF 2016,Pre-Construction,2016,Honeymoon Cove,10-Feb-2016,2,Inner,coralline algae - crustose,UPC Species,19.35
TBF 2016,Pre-Construction,2016,Honeymoon Cove,17-Feb-2016,1,Middle,coralline algae - crustose,UPC Species,48.39
TBF 2016,Pre-Construction,2016,Honeymoon Cove,17-Feb-2016,2,Middle,coralline algae - crustose,UPC Species,74.19
TBF 2016,Pre-Construction,2016,Honeymoon Cove,24-Feb-2016,1,Outer,coralline algae - crustose,UPC Species,22.58
TBF 2016,Pre-Construction,2016,Honeymoon Cove,24-Feb-2016,1,Deep,coralline algae - crustose,UPC Species,19.35
TBF 2016,Pre-Construction,2016,Honeymoon Cove,24-Feb-2016,2,Outer,coralline algae - crustose,UPC Species,48.39
TBF 2016,Pre-Construction,2016,Honeymoon Cove,24-Feb-2016,2,Deep,coralline algae - crustose,UPC Species,54.84
TBF 2016,Pre-Construction,2016,Marguerite Central,10-Feb-2016,1,Inner,coralline algae - crustose,UPC Species,12.9
TBF 2016,Pre-Construction,2016,Marguerite Central,10-Feb-2016,2,Inner,coralline algae - crustose,UPC Species,29.03
TBF 2016,Pre-Construction,2016,Marguerite Central,17-Feb-2016,1,Middle,coralline algae - crustose,UPC Species,45.16
TBF 2016,Pre-Construction,2016,Marguerite Central,17-Feb-2016,2,Middle,coralline algae - crustose,UPC Species,70.97
TBF 2016,Pre-Construction,2016,Golden Cove,10-Feb-2016,1,Inner,coralline algae - crustose,UPC Species,51.61
TBF 2016,Pre-Construction,2016,Golden Cove,10-Feb-2016,2,Inner,coralline algae - crustose,UPC Species,45.16
TBF 2016,Pre-Construction,2016,Point Vicente West,10-Feb-2016,1,Inner,coralline algae - crustose,UPC Species,12.9
TBF 2016,Pre-Construction,2016,Point Vicente West,10-Feb-2016,2,Inner,coralline algae - crustose,UPC Species,22.58
TBF 2016,Pre-Construction,2016,Point Vicente West,17-Feb-2016,1,Middle,coralline algae - crustose,UPC Species,38.71
TBF 2016,Pre-Construction,2016,Point Vicente West,17-Feb-2016,2,Middle,coralline algae - crustose,UPC Species,38.71
TBF 2016,Pre-Construction,2016,Point Vicente West,18-Mar-2016,1,Outer,coralline algae - crustose,UPC Species,12.9
TBF 2016,Pre-Construction,2016,Point Vicente West,18-Mar-2016,1,Deep,coralline algae - crustose,UPC Species,0
TBF 2016,Pre-Construction,2016,Point Vicente West,18-Mar-2016,2,Outer,coralline algae - crustose,UPC Species,19.35
TBF 2016,Pre-Construction,2016,Point Vicente West,18-Mar-2016,2,Deep,coralline algae - crustose,UPC Species,9.68
