Site,Relief_index,Relief_SD,Substrate_index,Substrate_SD
Little Dume West,0.09355,0.146871539522574,3.47636666666667,0.595238822347443
Escondido West,0.01774,0.054033852135372,2.908055,1.09860820660202
PVR 2A,0.387091666666667,0.25152593725082,3.048375,0.706292005828073
PVR 2B,0.309141666666667,0.273398253563747,2.82,0.473927424036521
PVR 2C,0.231175,0.256143209116887,3.25810833333333,0.799812841128178
PVR 4B,0.260758333333333,0.273531961496409,3.27421666666667,0.752919704701482
PVR 4C,0.317216666666667,0.297612601012374,2.96508333333333,0.368049583910184
PVR 5A,0.311808333333333,0.312084025244349,3.064525,0.709461817811641
PVR 5B,0.172041666666667,0.281343592097763,2.84678333333333,0.406041651301747
PVR 5C,0.169366666666667,0.253737266830141,2.90319166666667,0.229356175198792
PVR 6A,0.274175,0.285114701536954,2.94899166666667,0.683511489579652
PVR 6C,0.395166666666667,0.272217983020428,2.71774166666667,0.330012929879911
PVR 7A,0.244616666666667,0.27770587138312,3.102225,0.743662749944369
PVR 7B,0.23655,0.245694281306202,3.0081,0.729104803212845
PVR 7C,0.266133333333333,0.310337732203444,3.02688333333333,0.587766294260767
PVR 8A,0.268825,0.325040595529771,3.457,0.709428536475098
PVR 8B,0.268816666666667,0.317559363015309,3.26883333333333,0.643176675721002
PVR 8C,0.258075,0.345171947424047,3.50004166666667,0.736316146825206
PVR 4D,0.29677,0.328463014488668,3.40966,0.63099559583713
PVR 6D,0.28711,0.386281440275921,3.27741,0.652043902360688
Hermosa Beach AR - Boxes,0.016125,0.0624327595286769,2.8146,1.30668607674306
Redondo Beach AR - C,0.01615,0.0898026510133875,3.01605,0.896741214654818
Redondo Beach AR - Barge,0,0,3.98385,0.0898026510133875
Redondo Beach AR - D,0.12905,0.222401361487285,2.7097,1.32499141162674
Redondo Beach AR - E,0.03225,0.124865519057354,2.9837,1.05544182992612
Wreck of the Avalon,0.06455,0.213773068301839,3.9355,0.170388550274119
Santa Monica Bay AR - 2,0.5,0.495137647854191,3.9031,0.538815906080325
Santa Monica Bay AR - 7,0.35485,0.475341066997622,3.82255,0.666051933789374
Santa Monica Bay AR - 11,0,0,2.7097,0.714655351101222
Santa Monica Bay AR - 16,0.16125,0.371193382499744,2.72585,0.633997342712314
Santa Monica Bay AR - 17,0.53225,0.473893916246492,3.8064,0.672455757617884
Santa Monica Bay AR - 18,0.24195,0.375670674120904,3.7903,0.491676281835119
Santa Monica Bay AR - 20,0.30645,0.340607806076938,3.90325,0.295254069331473
Santa Monica Bay AR - 22,0.4032,0.496126434067297,3.70965,0.783719268327176
Santa Monica Jetty - Exterior,0.71775,0.676054745935458,3.927425,0.294632363621401
Star of Scotland,1.056475,0.759554044441442,3.75805,0.520900320816958
Hermosa Beach AR - NW,0.08065,0.186939125276492,3.03235,1.42168174873948
Hermosa Beach AR - AC,0.3548,0.428959449084853,3.0322,1.40991055624314
Hermosa Beach AR - Pier Pilings,0.008075,0.0449013255066937,3.435525,1.02237263551626
Deep Hole West,0.5967875,0.753185749863578,3.6008625,0.544060217231481
Deep Hole East,0.499966666666667,0.709257410543196,3.5431,0.713960723776422
Leo Carrillo,0.2984,0.527332762961431,3.750075,0.544110755179311
Nicholas Canyon East,0.008075,0.0449013255066937,2.758175,0.747394436341941
El Sol,0,0,3.42745,0.892525055134836
El Pescador,0.0645,0.170388550274119,3.3386,1.0853112513353
La Piedra,0.08065,0.186939125276492,3.38705,1.14525375894273
El Matador,0.0887,0.241096597303982,3.314575,1.02425589162375
Little Dume East,0.150533333333333,0.24804521606089,3.6613,0.503232152947471
Escondido East,0.008075,0.0449013255066937,3.1372,1.1866844189167
Malibu Bluffs,0.048375,0.100402416112812,2.90325,1.29466721205871
Big Rock,0.0645,0.170388550274119,3.32265,1.20123338779318
Santa Monica Bay AR - 5,0.19355,0.247568823927095,4,0
Santa Monica Bay AR - 14,0.30645,0.465588090044245,3.96775,0.124865519057354
Santa Monica Jetty - Interior,0.871,0.325670351282978,3.8226,0.355572706746886
Marina del Rey AR - O,0.1613,0.237595481655746,2.7742,0.423206193712909
Marina del Rey AR - H,0.0968,0.300537153518764,3.7904,0.723777420437814
Marina del Rey AR - C,0.1291,0.385048468387706,3.75815,0.691977834148171
Marina del Rey AR - R,0,0,2.8871,0.290607483239012
Marina del Rey AR - Q,0.37095,0.490755552484055,2.87105,1.43114375373377
Marina del Rey Breakwater - Exterior,0.82255,0.818357609921428,4,0
KH - West Breakwater,0.145166666666667,0.259494357368386,3.62908333333333,0.409294072924158
Redondo Beach AR - FG,0.03225,0.124865519057354,3.03225,1.08201808134144
Redondo Beach AR - IJ,0,0,3.14505,1.06813010966281
